765.00,238.93,223.00,4126
765.0,238.93,223.0,4278.0
765.0,238.4,224.0,4429.0
336.0,231.28,238.0,4579.0
327.0,222.14,258.0,4724.0
318.0,210.61,287.0,4867.0
300.0,197.92,325.0,5003.0
279.0,186.0,368.0,5135.0
261.0,174.73,417.0,5263.0
243.0,164.41,471.0,5389.0
228.0,154.69,532.0,5512.0
207.0,145.66,600.0,5634.0
189.0,136.73,681.0,5752.0
174.0,128.25,774.0,5869.0
156.0,119.07,898.0,5985.0
138.0,109.69,1058.0,6099.0
129.0,100.76,1254.0,6212.0
117.0,92.06,1502.0,6324.0
105.0,84.29,1792.0,6434.0
93.0,76.47,2177.0,6545.0
87.0,69.48,2637.0,6656.0
90.0,68.26,2732.0,6766.0
90.0,68.68,2699.0,6877.0
90.0,69.08,2668.0,6987.0
87.0,69.06,2669.0,7097.0
87.0,69.08,2668.0,7209.0
90.0,69.13,2664.0,7320.0
90.0,69.14,2663.0,7431.0
93.0,69.13,2664.0,7541.0
90.0,69.15,2662.0,7652.0
90.0,69.17,2661.0,7761.0
90.0,69.17,2661.0,7872.0
90.0,69.05,2670.0,7983.0
90.0,69.05,2670.0,8093.0
90.0,69.05,2670.0,8204.0
93.0,68.83,2687.0,8313.0
90.0,68.77,2692.0,8424.0
90.0,68.68,2699.0,8535.0
90.0,68.51,2712.0,8645.0
90.0,68.54,2710.0,8756.0
90.0,69.06,2669.0,8865.0
90.0,69.05,2670.0,8976.0
93.0,69.06,2669.0,9086.0
90.0,69.09,2667.0,9197.0
90.0,69.19,2659.0,9307.0
90.0,69.14,2663.0,9417.0
90.0,69.15,2662.0,9528.0
90.0,69.14,2663.0,9638.0
90.0,69.14,2663.0,9749.0
90.0,69.14,2663.0,9859.0
90.0,69.17,2661.0,9969.0
93.0,69.14,2663.0,10080.0
90.0,69.13,2664.0,10190.0
90.0,69.17,2661.0,10301.0
90.0,69.15,2662.0,10411.0
90.0,69.14,2663.0,10521.0
87.0,69.14,2663.0,10632.0
90.0,69.13,2664.0,10742.0
90.0,69.06,2669.0,10853.0
90.0,69.06,2669.0,10963.0
