765.00,343.33,108.00,3066
765.0,343.33,108.0,3218.0
765.0,341.75,109.0,3368.0
765.0,335.65,113.0,3520.0
765.0,325.71,120.0,3673.0
300.0,312.94,130.0,3816.0
258.0,302.64,139.0,3952.0
240.0,291.33,150.0,4086.0
246.0,279.47,163.0,4216.0
219.0,268.19,177.0,4345.0
195.0,256.83,193.0,4470.0
186.0,243.9,214.0,4591.0
171.0,231.28,238.0,4710.0
171.0,218.77,266.0,4827.0
144.0,206.69,298.0,4941.0
132.0,193.79,339.0,5054.0
123.0,180.44,391.0,5167.0
108.0,166.18,461.0,5278.0
96.0,152.42,548.0,5389.0
90.0,139.2,657.0,5500.0
87.0,137.13,677.0,5611.0
90.0,138.26,666.0,5722.0
93.0,138.57,663.0,5832.0
96.0,138.57,663.0,5943.0
93.0,138.57,663.0,6053.0
96.0,138.57,663.0,6164.0
93.0,138.57,663.0,6275.0
93.0,138.57,663.0,6385.0
93.0,138.57,663.0,6496.0
93.0,138.47,664.0,6606.0
96.0,138.05,668.0,6717.0
96.0,137.95,669.0,6828.0
93.0,137.84,670.0,6937.0
93.0,137.84,670.0,7048.0
93.0,137.84,670.0,7158.0
93.0,137.84,670.0,7269.0
90.0,137.84,670.0,7378.0
96.0,137.84,670.0,7489.0
87.0,137.95,669.0,7600.0
90.0,138.15,667.0,7710.0
90.0,138.26,666.0,7821.0
90.0,138.26,666.0,7930.0
93.0,138.26,666.0,8041.0
93.0,138.26,666.0,8152.0
90.0,138.26,666.0,8262.0
96.0,138.15,667.0,8373.0
90.0,138.26,666.0,8483.0
93.0,138.26,666.0,8594.0
96.0,138.15,667.0,8704.0
93.0,138.05,668.0,8814.0
93.0,138.05,668.0,8925.0
90.0,138.05,668.0,9035.0
90.0,138.05,668.0,9146.0
90.0,138.05,668.0,9255.0
93.0,138.05,668.0,9366.0
96.0,137.95,669.0,9477.0
93.0,138.05,668.0,9587.0
96.0,138.05,668.0,9699.0
90.0,137.95,669.0,9808.0
90.0,138.05,668.0,9919.0
